income_base,year,ghe_mean,ghe_sd,oop_mean,n
Low income,2005,1.20636932,0.552057584921702,46.3994647313043,23
Low income,2004,1.29448221043478,0.607173139577875,47.1046859491305,23
Low income,2013,1.04994160583333,0.490778647863142,43.4628113860869,24
Low income,2021,1.3094017412,0.748255354768996,42.99115828625,25
Low income,2003,1.29200973521739,0.681966000121425,48.1732354786957,23
Low income,2002,1.17350764695652,0.662456858928076,49.9907425591304,23
Low income,2022,1.2171500508,0.715959580510202,42.7011491454167,25
Low income,2009,1.14339958565217,0.558456154909209,45.3021999852174,23
Low income,2014,1.15677885333333,0.631532495817578,42.2625824886957,24
Low income,2006,1.15753044086957,0.567532009066989,46.4870819017391,23
Low income,2008,1.0782779473913,0.47681871122818,45.8847626408696,23
Low income,2007,1.17554158652174,0.564833704051251,46.377543906087,23
Low income,2012,1.10553315434783,0.5347383407058,44.5584040104348,23
Low income,2017,1.20177193,0.687773485452685,43.1019182195833,25
Low income,2020,1.3650968712,0.766553650536982,42.414791625,25
Low income,2010,1.13153489695652,0.471485581862664,44.8273198704348,23
Low income,2011,1.11278981826087,0.690751141694104,42.8117811773913,23
Low income,2016,1.19974840125,0.678708759601998,44.10998701,24
Low income,2018,1.1346877324,0.632711258534981,42.5910283320833,25
Low income,2019,1.1454947856,0.675376163509486,43.82986974625,25
Low income,2015,1.1057593975,0.610368837413547,43.4332195365217,24
Upper middle income,2000,3.04387579862745,3.11829353790833,38.8854727860784,51
Upper middle income,2001,2.92443257627451,2.4157965455751,38.832721784902,51
Upper middle income,2015,3.6098225645283,2.07180949267556,34.2542865239623,53
Upper middle income,2013,3.35409385320755,1.88160636557955,35.2076569633962,53
Upper middle income,2016,3.79027639924528,2.40652825614333,33.2652405613207,53
Upper middle income,2017,3.71908903471698,2.73888101637724,33.6354151809434,53
Upper middle income,2002,2.92531388470588,1.86672993968337,38.88155175,51
Upper middle income,2003,2.92304072115385,2.04526289044061,39.1145637519231,52
Upper middle income,2014,3.47681492867925,2.11714174838201,34.428807424151,53
Upper middle income,2012,3.31374706018868,1.97044399301827,35.1211113773585,53
Upper middle income,2008,3.09809463711539,1.98049569577801,36.5694526294231,52
Upper middle income,2009,3.36649103692308,2.05722120407653,35.2776361713462,52
Upper middle income,2018,3.68214774320755,2.34599665781673,33.199233174717,53
Upper middle income,2011,3.25840127566038,2.06388942505058,35.518885140566,53
Upper middle income,2005,2.84465302538462,1.73078840565197,38.6110008517308,52
Upper middle income,2006,2.88186628846154,1.77412757300142,37.7344432798077,52
Upper middle income,2010,3.28456405192308,2.15636165597393,35.3379416257692,52
Upper middle income,2004,2.84279925634615,1.60482551824003,38.402643515,52
Upper middle income,2019,3.77982820924528,2.53294280297606,32.8363709571698,53
Upper middle income,2020,4.25915551339623,2.43515217570716,30.8940273267925,53
Upper middle income,2021,4.21072539943396,2.09696978180701,30.6547067750943,53
Upper middle income,2022,3.90476333173077,2.25812617978749,31.4577074315385,52
Upper middle income,2007,3.01559744576923,1.91973542008231,37.0814923121154,52
High income,2010,5.05534661774194,2.13728035324397,22.2392098983871,62
High income,2022,5.76798551693548,2.5380330780376,19.2906954053226,62
High income,2009,5.03041918387097,2.13758771906873,22.6854628445161,62
High income,2008,4.65346662064516,2.28811234291526,23.3759817229032,62
High income,2020,6.24000142435484,2.1735599058227,18.7343984658064,62
High income,2011,4.99000510854839,2.2008793570337,22.2397066793548,62
High income,2012,5.00178091725806,2.22229694729148,22.2225553214516,62
High income,2007,4.57221077693548,2.50030863970195,23.3979207393548,62
High income,2013,5.03363351129032,2.14686196894885,21.9162583883871,62
High income,2005,4.5560421116129,2.04670746827417,23.7398459291936,62
High income,2006,4.49918579241936,2.10204761863254,23.6377166208065,62
High income,2018,5.25651902209677,2.12387359787824,21.2458449003226,62
High income,2019,5.38459046016129,2.14573590296116,20.7301369916129,62
High income,2017,5.23044025467742,2.06085870285636,21.4578529448387,62
High income,2014,5.09948447403226,2.12067325233069,21.8173225270968,62
High income,2015,5.19005066516129,2.09558071664006,21.8216324387097,62
High income,2016,5.29003848596774,2.11310447580892,21.7071451159677,62
High income,2004,4.50370744725806,1.87935333294377,24.0295571204839,62
High income,2001,4.41210812645161,2.03077941449409,24.0723236412903,62
High income,2021,6.142979215,2.19507628465933,18.7818248940323,62
High income,2003,4.59576930870968,1.86644340663745,23.5253340045161,62
High income,2002,4.49139822693549,1.92351889454512,23.8465467956452,62
High income,2000,4.34901620725807,2.33557379067714,24.1438065266129,62
Lower middle income,2004,1.953066829,1.82221496407963,44.0970631738,50
Lower middle income,2005,2.041297065,1.83401476016698,43.1718594298,50
Lower middle income,2001,1.99555616,1.82840585885766,45.0596465536735,49
Lower middle income,2012,2.05385878392157,1.46641710746132,38.7721749701961,51
Lower middle income,2013,2.10103351,1.49438821845142,38.7334961690196,51
Lower middle income,2014,2.09068461215686,1.50318144276995,38.0454305562745,51
Lower middle income,2015,2.07245618941176,1.38455942619365,38.276020232549,51
Lower middle income,2003,1.9509786234,1.65315530261287,44.959850865,50
Lower middle income,2002,1.97519174122449,1.75998013154253,44.9291021642857,49
Lower middle income,2000,1.83055357734694,1.36611645632277,45.6155919781633,49
Lower middle income,2006,1.9375007372,1.61196626360626,42.1647795456,50
Lower middle income,2007,1.9501196032,1.58316560893982,42.2164148818,50
Lower middle income,2018,2.07458693529412,1.57874343102585,38.6105132223529,51
Lower middle income,2016,2.03964195843137,1.45689235142423,38.794039627451,51
Lower middle income,2009,2.0686166864,1.60170166261738,40.278411562,50
Lower middle income,2011,2.04414656333333,1.49488959115767,39.3721885629412,51
Lower middle income,2022,2.40014495627451,2.04218166161319,35.0389180566667,51
Lower middle income,2008,2.0157314562,1.67273884978707,41.350642142,50
Lower middle income,2017,2.11528579156863,1.57876164697892,38.1701425707843,51
Lower middle income,2010,2.00429757627451,1.49058169567402,40.3000118178432,51
Lower middle income,2021,2.38989739666667,1.86200064488711,34.3849777394118,51
Lower middle income,2019,2.18329126647059,1.73496319019785,37.5604164366667,51
Lower middle income,2020,2.43228113215686,1.75962492104472,36.2305844896078,51
Low income,2000,1.18658003136364,0.584467371449331,51.7771747754545,22
Low income,2001,1.19180571636364,0.608545255915518,49.8978154022727,22
