iter,n_treated,beta_t4,p_t4,beta_t5,p_t5,beta_t0,p_t0
1,25,-0.215935509856831,0.665668362602824,-0.189717911198127,0.620045970825259,0.00216480233033365,0.995534690065542
2,25,0.310889569087153,0.48575793131496,0.291421411475939,0.474232035820707,0.301008588768875,0.37388926378598
3,25,-0.291624712334423,0.286188723405439,-0.170015665091094,0.450309996562962,-0.188366374157853,0.434474396679755
4,25,-0.418729869071588,0.529223177734715,-0.509679081877667,0.428526487384367,-0.118391221705031,0.795309575787605
5,25,0.411091518022592,0.181075756562344,0.350715345486664,0.187632419387921,0.526716123661179,0.204750735094843
6,25,0.102373232030238,0.716378781225249,-0.0198222950552255,0.943081968903232,0.23622646728187,0.38973042779874
7,25,-0.00487583632120965,0.983199906246042,0.148607544320065,0.471899379582839,-0.30677156021654,0.244048644629325
8,25,0.0555897392489129,0.826563603706188,0.167681472689537,0.440256078026645,0.0179131245608821,0.937893736373447
9,25,1.34445569976985,0.0617746475735529,1.30592082541138,0.0440499174337418,0.630471742369725,0.0976330615763202
10,25,0.772651909091887,0.0132833880083718,0.619412984454438,0.0456482183995034,0.218948318411016,0.189133812807263
11,25,-0.0128388453008596,0.979314039198436,-0.125882150828107,0.748129150401161,-1.16881743902537,0.273102265090076
12,25,0.316221395644909,0.370251532648384,0.205388220627909,0.438211295211532,0.262097967891988,0.610589633016294
13,25,-0.0114740568079694,0.959735190159938,0.00811959675340582,0.972166807734953,0.13616576721674,0.535573532257371
14,25,0.128059401834473,0.672372601545287,0.274083346703074,0.342741337314941,0.567099877630505,0.331188865810372
15,25,-0.268674960875529,0.280978004861754,-0.306698926256576,0.20324013460795,-0.433186347162832,0.116643128730505
16,25,-0.513918478035537,0.146934427958552,-0.53152534341078,0.13488664139111,-0.104567366658378,0.709349388679375
17,25,0.0668346761314817,0.859989003393608,-0.0987193288982609,0.826579696107748,-0.794936539215875,0.339430170903741
18,25,0.108713907325909,0.632920515642011,0.0646805400675961,0.752531774578418,0.19433417277212,0.177546287073103
19,25,0.453571509831409,0.0725295441684638,0.367368758690084,0.124879093182988,0.237292851225321,0.185826932919852
20,25,-0.0357100173350262,0.941614533995918,0.0678873411424591,0.866438183305476,-0.509655296488353,0.330631843653926
21,25,-0.247340455983328,0.46005375470116,-0.26590587943687,0.433435965356323,-0.518184514123324,0.136698256243574
22,25,-0.0754640017908442,0.814354169796419,-0.400983060155214,0.252493538673026,-0.0304194997189629,0.927452465178539
23,25,0.319755937947324,0.331868162797682,0.377079562904522,0.135339898603237,0.416998131606175,0.113385291032683
24,25,0.0948832971248076,0.699572397529474,0.157380735716651,0.531286318320363,-0.307908833560025,0.315956943194594
25,25,0.343755913347141,0.482263043661655,0.292154171381892,0.502053250078853,0.233128072118699,0.596281033301519
26,25,-0.250689990908054,0.216480106219994,-0.193626539042454,0.334060690219745,-0.36006910115112,0.090625536733108
27,25,-0.207256071231288,0.43837965054734,-0.243787013089727,0.380519692921646,-0.145442051198873,0.58750320823382
28,25,-0.245323848494993,0.565889425542665,-0.399355480444078,0.419299741786889,0.297703654752164,0.480305649333323
29,25,-0.0817349184494019,0.803560140386767,-0.138873639497145,0.6446907510397,0.194724932780756,0.439000373992775
30,25,0.177667868465261,0.735194009671501,0.251376878869699,0.603622930364433,-0.350047783548859,0.446184352790018
31,25,-0.34027796371997,0.498867460610755,-0.374804821280805,0.347813357543427,-0.134937069379651,0.716138293565774
32,25,0.202869548948118,0.283798867545483,0.0805438177006189,0.69012920800912,0.468982932807211,0.347372843387354
33,25,0.593004496140203,0.176240324320528,0.633071553676206,0.0983794907984779,0.390661713110857,0.15784579293724
34,25,-0.320099482411542,0.205319911823998,-0.167710831201559,0.401628474164298,-0.209409452334121,0.363746469560926
35,25,0.279101415947374,0.617618418433388,0.205757137946923,0.681348909510522,0.0242994946550929,0.94370522762571
36,25,0.295791548510321,0.406524083888418,0.315782786644524,0.371798216432245,0.257785444645519,0.525735152966604
37,25,-0.359586165226583,0.463348218362219,-0.569888668008963,0.328297456707561,-0.126672053079761,0.810810368999946
38,25,-0.0141132891975278,0.95649621392224,-0.241399671611323,0.559968996231661,-0.0652749447162375,0.832400422145791
39,25,-0.127879766919406,0.675373458077782,-0.222034152729642,0.569340736830909,-0.34223028698122,0.364862581468133
40,25,0.062329256921814,0.844141566313968,-0.0180347260378396,0.950023851849101,0.291002438715091,0.277561598232625
41,25,0.325008494126387,0.204414597148497,0.266318182180188,0.257684377415902,0.314357940185891,0.261979110775564
42,25,0.128957895096909,0.523495243249609,-0.0320734515972024,0.876103070924862,0.0611600710541061,0.751875897598495
43,25,-0.0863581775234821,0.663346689941381,-0.0395194999964209,0.835247036948847,-0.000756543941059129,0.995992742330414
44,25,0.155132235524716,0.658803807496437,-0.201197400257051,0.679441784809912,0.603077163249171,0.182704100685325
45,25,0.734236229415259,0.332976460661024,0.609066311760703,0.350814491565621,0.191879319398775,0.736777618128841
46,25,0.11601045964596,0.761408155564673,0.217889131171882,0.573692157483244,0.115906523981645,0.784466203881412
