Variable,Coef,SE,P,ci_low,ci_high,sig
GHE,-0.0543276139548769,0.0222572378240617,0.0155822583249512,-0.0979518000900378,-0.0107034278197161,p<0.05
GDP per capita,0.0877050329291048,0.0466419746104927,0.0616098612270888,-0.00371323730746087,0.179123303165671,p<0.10
Urbanization,0.285514420231718,0.134112121369149,0.0345692228038021,0.0226546623481867,0.54837417811525,p<0.05
Fertility,-0.230570581287107,0.0630524819285335,0.000331855619841227,-0.354153445867032,-0.106987716707181,p<0.01
Governance,0.186441296882595,0.0471311447933158,0.000108189952587501,0.0940642530876957,0.278818340677494,p<0.01
