spec,ghe_coef,ghe_se,ghe_p,N
"FE only, no controls",-0.206170708347999,0.0795846310489032,0.0103284461277703,4314
+ GDP pc,-0.187307112628162,0.0771769389083043,0.0161631416956741,4314
+ urbanization,-0.156654439789749,0.073341424395527,0.0339761776940851,4304
+ fertility (primary),-0.121563755680868,0.0683489221648362,0.0769253580677737,4304
+ governance (original),-0.160994734343907,0.0659572145700579,0.0155822583245851,4098
