Model,Term,Coef,SE,P,N
M1_Pooled_OLS_raw,ghe_share_gdp,1.47272713396979,0.0700074365930197,1.31791376851001e-93,4314
M2_Pooled_OLS_GDP,ghe_share_gdp,0.164122387766407,0.0442968943193261,0.000213995164504897,4314
M3_Pooled_OLS_full,ghe_share_gdp,-0.0114135400184193,0.0332209869531133,0.731190893099583,4304
M4_Country_FE,ghe_share_gdp,-0.0891351605408477,0.0628901541944378,0.158045978426583,4304
M5_TWFE,ghe_share_gdp,-0.121563755680868,0.0683489221648362,0.0769253580677736,4304
M6_TWFE_Governance,ghe_share_gdp,-0.160994734343907,0.0659572145700579,0.0155822583245851,4098
M7_LongDifference,d_ghe,-0.330362942785175,0.154768049056334,0.0341270451076768,186
M8_PreCOVID_TWFE,ghe_share_gdp,-0.0767302616377521,0.0693224567290267,0.269768664111058,3743
