Analysis,Coefficient,SE,P
5yr TWFE (GHE/GDP),-0.203576924897881,0.0951319886451276,0.0336485147721652
5yr TWFE (GHE pc PPP),-0.231900326410733,0.294788538590972,0.432467509083366
10yr TWFE (GHE/GDP),-0.265172765394768,0.118792430981913,0.0267797649105904
10yr TWFE (GHE pc PPP),-0.348932616388142,0.331782529470387,0.294291373221777
Annual TWFE (GHE/GDP),-0.121563755680868,0.0683489221648362,0.0769253580677737
Annual TWFE (GHE pc PPP),-0.160190666494702,0.232926416797812,0.492469944678542
DiD: 6 reforms pooled,,,
Electricity: GHE→Elec,,,
U5MR: GHE→log(U5MR),,,
