Model,Coef,SE,P,N
Pooled_OLS_logIMR,-0.0808520141538742,0.00589269763310141,0.00000000000000000000000000000000000000000577632661052833,4304
TWFE_logIMR,-0.0143677697772746,0.00847096845202178,0.0915185904959556,4304
TWFE_HALE_same,-0.121563755680867,0.0683489221648362,0.0769253580677756,4304
TWFE_logIMR_same,-0.0143677697772746,0.00847096845202178,0.0915185904959556,4304
