income_group,coef,se,p,n
Low income,0.845517993079644,0.36416310113085,0.0298950358792965,516
Lower middle income,-0.0727001279868669,0.213364800107692,0.734733225608703,1160
Upper middle income,-0.164035642224802,0.0910429475886466,0.0773849661848018,1202
High income,0.0069865940706603,0.0469088597630556,0.882092474847302,1426
