income_group,var,coef,se,p,siglab
Low income,GHE,0.285319736121368,0.122886704683061,0.0298950358792962,0.285*
Low income,GDP pc,0.505155051114381,0.258264719306344,0.0632859810292959,0.505†
Low income,Urban,-0.310808382353934,0.55383090288683,0.580335067200815,-0.311
Low income,Fertility,-0.202949791618972,0.157497757720377,0.21092816961979,-0.203
Lower middle income,GHE,-0.0245326314791372,0.071999873406101,0.734733225608703,-0.025
Lower middle income,GDP pc,0.151541200801027,0.119613292989537,0.211051432141605,0.152
Lower middle income,Urban,0.429453475699488,0.233478853638982,0.0718023312759449,0.429†
Lower middle income,Fertility,-0.153775410067737,0.101433040244232,0.135809259248874,-0.154
Upper middle income,GHE,-0.0553537672020553,0.0307224092146048,0.0773849661848017,-0.055†
Upper middle income,GDP pc,0.0372159844884679,0.118516812261446,0.754766441531181,0.037
Upper middle income,Urban,0.46125475306013,0.219554208680181,0.0405182651896723,0.461*
Upper middle income,Fertility,0.203087696246296,0.104864904919526,0.0582294449467674,0.203†
High income,GHE,0.00235762360226923,0.0158293774927253,0.882092474847303,0.002
High income,GDP pc,0.12126178327091,0.0589622540558587,0.0440089372492618,0.121*
High income,Urban,0.0333321652885868,0.103395091410704,0.748269665836213,0.033
High income,Fertility,-0.0185367595647768,0.0928428281809419,0.842412598269416,-0.019
