Method,Coef,SE,p_value,CI_lower,CI_upper
Standard clustered,0.845517993079644,0.36416310113085,0.0298950358792964,0.131758314863178,1.55927767129611
Cluster bootstrap,0.781631700349193,0.393966687443236,0.065006500650065,-0.0663560391524649,1.49267883778679
