region,coef,se,p,n_countries,n_obs
Europe & Central Asia,-0.115616120432693,0.0762193749810585,0.13559299412868,51,1161
Sub-Saharan Africa,0.205392128260431,0.247356065328397,0.410724672610101,47,1037
Latin America & Caribbean,-0.122892138820413,0.141799079955009,0.392784993279287,32,734
East Asia & Pacific,0.0518616675637884,0.0615075128243425,0.406275541816207,29,664
Middle East & North Africa,0.244654826016471,0.136835608233947,0.0889471353926111,21,480
South Asia,-0.105301605806161,0.0914706385371734,0.287447094386077,8,182
