Pathway,Coefficient,SE,P,N
A: GHE→OOP,-0.120251242091928,0.0219921122356057,0.000000143624361927178,4304
B: OOP→HALE,-0.834894277567223,0.362724899944827,0.0224465709918595,4304
Total: GHE→HALE,-0.121563755680868,0.0683489221648362,0.0769253580677737,4304
Direct: GHE→HALE|OOP,-0.22196082957377,0.0887241057045835,0.0132137565381824,4304
Indirect: via OOP,0.100397073892902,,,
OOP as outcome,-2.5604835572882,0.56650647006258,0.0000109286987784089,4304
