Specification,Beta,SE,P,N,G
Original LIC,0.845517993079644,0.36416310113085,0.0298950358792965,516,24
DAH-adjusted,1.09967366892288,0.369773824212412,0.00700516036768354,513,24
Excl. Rwanda,0.663015643223469,0.396603209872576,0.10941237398967,493,23
DAH-adj + Excl. Rwanda,0.913484643288446,0.402158066248862,0.0337563698968739,490,23
