income_group,ghe_coef,ghe_se,ghe_p,N
Low income,0.845517993079644,0.36416310113085,0.0298950358792964,516
Lower middle income,-0.0727001279868664,0.213364800107691,0.734733225608705,1160
Upper middle income,-0.164035642224802,0.0910429475886465,0.077384966184802,1202
High income,0.00698659407066023,0.0469088597630555,0.882092474847303,1426
