Model,Term,Coef,SE,P,N
M1_Pooled_OLS,ghe_share_gdp,-0.0114135400184058,0.0332209869531179,0.731190893099926,4304
M2_Country_FE,ghe_share_gdp,-0.0891351605408481,0.0628901541944379,0.158045978426582,4304
M3_TWFE,ghe_share_gdp,-0.121563755680867,0.0683489221648362,0.0769253580677756,4304
M4_TWFE_Governance,ghe_share_gdp,-0.160994734343906,0.065957214570058,0.0155822583245853,4098
LongDiff_OLS,d_ghe,-0.330362942785175,0.154768049056334,0.0341270451076768,186
