period,ghe_coef,ghe_se,ghe_p,n_countries,N
2000–2015 (MDG),-0.0192616781949637,0.0620370033065199,0.756534648224688,190,2991
2016–2022 (SDG),-0.0265585638176309,0.041726053690285,0.525229998670391,189,1313
