lag,coef,se,p,N,ci_low,ci_high
0,0.845517993079644,0.36416310113085,0.0298950358792965,516,0.0902899453199641,1.60074604083932
1,0.80309380109383,0.340863186562317,0.0277932724458091,493,0.0961868186422953,1.51000078354536
2,0.773727009260528,0.336411780043184,0.0313126373119469,470,0.0760516789033148,1.47140233961774
3,0.657508073028267,0.333020534878065,0.0610237032186287,447,-0.0331342453143459,1.34815039137088
