Variable,hale,ghe_share_gdp,ln_gdppc,urbanization,fertility_rate,oop_expenditure,governance_composite
hale,1,0.500907454505044,0.776840314569464,0.586476240678399,-0.807804845318371,-0.280012571733868,0.641728385547597
ghe_share_gdp,0.500907454505044,1,0.595847760433361,0.509183951616988,-0.503428648261856,-0.622622827249836,0.649964175297966
ln_gdppc,0.776840314569464,0.595847760433361,1,0.731275746733118,-0.729652722465954,-0.471332197633282,0.797191955966669
urbanization,0.586476240678399,0.509183951616988,0.731275746733118,1,-0.533278783732139,-0.344903800634107,0.515474357949102
fertility_rate,-0.807804845318371,-0.503428648261856,-0.729652722465954,-0.533278783732139,1,0.292475651438001,-0.607599260818746
oop_expenditure,-0.280012571733868,-0.622622827249836,-0.471332197633282,-0.344903800634107,0.292475651438001,1,-0.567062778873488
governance_composite,0.641728385547597,0.649964175297966,0.797191955966669,0.515474357949102,-0.607599260818746,-0.567062778873488,1
