iso3c,country,income,n_years,first_year,last_year,span
NER,Niger,Low income,23,2000,2022,23
NGA,Nigeria,Lower middle income,23,2000,2022,23
MKD,North Macedonia,Upper middle income,23,2000,2022,23
NOR,Norway,High income,23,2000,2022,23
OMN,Oman,High income,23,2000,2022,23
PAK,Pakistan,Lower middle income,23,2000,2022,23
PLW,Palau,High income,23,2000,2022,23
PAN,Panama,High income,23,2000,2022,23
PNG,Papua New Guinea,Lower middle income,23,2000,2022,23
PRY,Paraguay,Upper middle income,23,2000,2022,23
PER,Peru,Upper middle income,23,2000,2022,23
PHL,Philippines,Lower middle income,23,2000,2022,23
POL,Poland,High income,23,2000,2022,23
PRT,Portugal,High income,23,2000,2022,23
QAT,Qatar,High income,23,2000,2022,23
ROU,Romania,High income,23,2000,2022,23
RUS,Russian Federation,High income,23,2000,2022,23
RWA,Rwanda,Low income,23,2000,2022,23
WSM,Samoa,Lower middle income,23,2000,2022,23
SMR,San Marino,High income,23,2000,2022,23
STP,Sao Tome and Principe,Lower middle income,23,2000,2022,23
SAU,Saudi Arabia,High income,23,2000,2022,23
SEN,Senegal,Lower middle income,23,2000,2022,23
SRB,Serbia,Upper middle income,23,2000,2022,23
SYC,Seychelles,High income,23,2000,2022,23
SLE,Sierra Leone,Low income,23,2000,2022,23
SGP,Singapore,High income,23,2000,2022,23
SVK,Slovak Republic,High income,23,2000,2022,23
SVN,Slovenia,High income,23,2000,2022,23
SLB,Solomon Islands,Lower middle income,23,2000,2022,23
SOM,Somalia,Low income,10,2013,2022,10
ZAF,South Africa,Upper middle income,23,2000,2022,23
ESP,Spain,High income,23,2000,2022,23
LKA,Sri Lanka,Lower middle income,23,2000,2022,23
KNA,St. Kitts and Nevis,High income,23,2000,2022,23
LCA,St. Lucia,Upper middle income,23,2000,2022,23
VCT,St. Vincent and the Grenadines,Upper middle income,23,2000,2022,23
SDN,Sudan,Low income,23,2000,2022,23
SUR,Suriname,Upper middle income,23,2000,2022,23
SWE,Sweden,High income,23,2000,2022,23
CHE,Switzerland,High income,23,2000,2022,23
SYR,Syrian Arab Republic,Low income,23,2000,2022,23
TJK,Tajikistan,Lower middle income,23,2000,2022,23
TZA,Tanzania,Lower middle income,23,2000,2022,23
THA,Thailand,Upper middle income,23,2000,2022,23
TLS,Timor-Leste,Lower middle income,20,2003,2022,20
TGO,Togo,Low income,23,2000,2022,23
TON,Tonga,Upper middle income,23,2000,2022,23
TTO,Trinidad and Tobago,High income,23,2000,2022,23
TUN,Tunisia,Lower middle income,23,2000,2022,23
TUR,Turkiye,Upper middle income,23,2000,2022,23
TKM,Turkmenistan,Upper middle income,23,2000,2022,23
TUV,Tuvalu,Upper middle income,23,2000,2022,23
UGA,Uganda,Low income,23,2000,2022,23
UKR,Ukraine,Upper middle income,22,2000,2021,22
ARE,United Arab Emirates,High income,23,2000,2022,23
GBR,United Kingdom,High income,23,2000,2022,23
USA,United States,High income,23,2000,2022,23
URY,Uruguay,High income,23,2000,2022,23
UZB,Uzbekistan,Lower middle income,23,2000,2022,23
VUT,Vanuatu,Lower middle income,23,2000,2022,23
VNM,Viet Nam,Lower middle income,23,2000,2022,23
PSE,West Bank and Gaza,Lower middle income,23,2000,2022,23
YEM,"Yemen, Rep.",Low income,23,2000,2022,23
ZMB,Zambia,Lower middle income,23,2000,2022,23
ZWE,Zimbabwe,Lower middle income,13,2010,2022,13
