"model","term","estimate","std_error","statistic","p_value","ci_lower","ci_upper","n_obs","r2"
"OLS_1_raw","(Intercept)",56.3623588645431,0.234512118298808,240.338790478742,0,55.9027151126775,56.8220026164088,4314,0.248857369197833
"OLS_1_raw","ghe_share_gdp",1.47272713396987,0.0700074365930214,21.036724177338,1.3179137684942e-93,1.33551255824755,1.60994170969219,4314,0.248857369197833
"OLS_2_gdp","(Intercept)",31.9361811855259,0.449790213898065,71.0023922235968,0,31.0545923662857,32.8177700047661,4314,0.61033596835133
"OLS_2_gdp","ghe_share_gdp",0.164122387766445,0.0442968943193274,3.70505405149444,0.000213995164504272,0.0773004749005631,0.250944300632326,4314,0.61033596835133
"OLS_2_gdp","log_gdppc",3.41163516281025,0.0609568495682089,55.9680361924336,0,3.29215973765656,3.53111058796393,4314,0.61033596835133
"OLS_3_full_controls","(Intercept)",53.1007197824575,0.526557652784484,100.845025234476,0,52.068666783,54.1327727819151,4304,0.732603480040464
"OLS_3_full_controls","ghe_share_gdp",-0.0114135400184058,0.0332209869531179,-0.343564146198088,0.731190893099926,-0.0765266744465168,0.0536995944097053,4304,0.732603480040464
"OLS_3_full_controls","log_gdppc",1.71307222528583,0.0652449410931231,26.2560161230093,4.72032793198784e-141,1.58519214074331,1.84095230982835,4304,0.732603480040464
"OLS_3_full_controls","urbanization",0.0125801178549434,0.00411236825027983,3.05909322543948,0.00223375899486833,0.00451987608439497,0.0206403596254919,4304,0.732603480040464
"OLS_3_full_controls","fertility_rate",-2.41646771022869,0.0522891770366828,-46.2135349449743,0,-2.51895449722059,-2.31398092323679,4304,0.732603480040464
"TWFE_1_baseline","ghe_share_gdp",-0.206170708347998,0.079584631048903,-2.59058445871679,0.0103284461277704,-0.362156585203848,-0.050184831492148,4314,0.963666663818669
"TWFE_2_gdp","ghe_share_gdp",-0.187307112628161,0.077176938908304,-2.4269829210343,0.0161631416956742,-0.338573912888437,-0.0360403123678852,4314,0.964456458053207
"TWFE_2_gdp","log_gdppc",0.845335054264728,0.247676173692375,3.41306570455449,0.000785828855189162,0.359889753827672,1.33078035470178,4314,0.964456458053207
"TWFE_3_full_controls","ghe_share_gdp",-0.121563755680867,0.0683489221648362,-1.77857604524756,0.0769253580677756,-0.255527643123946,0.0124001317622116,4304,0.967574835939025
"TWFE_3_full_controls","log_gdppc",0.849916303631038,0.227869300395105,3.72984119474348,0.000253560841224828,0.403292474856633,1.29654013240544,4304,0.967574835939025
"TWFE_3_full_controls","urbanization",0.0825970861678517,0.0393418970449925,2.09946882005693,0.0371103127264497,0.0054869679596664,0.159707204376037,4304,0.967574835939025
"TWFE_3_full_controls","fertility_rate",-1.19597504164946,0.326842765134898,-3.65917550953237,0.000328565601944214,-1.83658686131386,-0.55536322198506,4304,0.967574835939025
"TWFE_4_quadratic","ghe_share_gdp",-0.169545295173297,0.143303957078957,-1.18311663284973,0.238256895428269,-0.450421051048052,0.111330460701458,4304,0.967583798308033
"TWFE_4_quadratic","I(I(ghe_share_gdp^2))",0.00348113117781735,0.00637818876538372,0.545786790869292,0.585859529919255,-0.00902011880233474,0.0159823811579694,4304,0.967583798308033
"TWFE_4_quadratic","log_gdppc",0.851757683849216,0.227744362072951,3.73997264343423,0.00024423854094237,0.405378734186232,1.2981366335122,4304,0.967583798308033
"TWFE_4_quadratic","urbanization",0.0823046951895685,0.0393866655290916,2.08965887525505,0.0379940102800888,0.00510683075254895,0.159502559626588,4304,0.967583798308033
"TWFE_4_quadratic","fertility_rate",-1.19675257225726,0.326305632624226,-3.66758171666452,0.000318654346101812,-1.83631161220074,-0.557193532313776,4304,0.967583798308033
"IV_2SLS_tax_revenue","fit_ghe_share_gdp",9.42318849330015,114.492910515834,0.0823036854495628,0.934514221955644,-214.982916117735,233.829293104335,2753,0.976489591041159
"IV_2SLS_tax_revenue","log_gdppc",3.94681669842651,35.1921209856744,0.112150577682804,0.910852963633335,-65.0297404334952,72.9233738303483,2753,0.976489591041159
"IV_2SLS_tax_revenue","urbanization",0.344424772490945,3.2389935443931,0.10633697405392,0.915456136749156,-6.00400257451954,6.69285211950143,2753,0.976489591041159
"IV_2SLS_tax_revenue","fertility_rate",-1.76858189325574,11.8415810570048,-0.149353526758113,0.881473971626114,-24.9780807649852,21.4409169784738,2753,0.976489591041159
"TWFE_5_lags","ghe_share_gdp",-0.122091756344333,0.0522577626301122,-2.33633722914079,0.0205274351035759,-0.224516971099353,-0.0196665415893134,3926,0.970754056016192
"TWFE_5_lags","ghe_l1",-0.0211313802519303,0.0268486015869208,-0.787057016117531,0.432239558571795,-0.0737546393622951,0.0314918788584345,3926,0.970754056016192
"TWFE_5_lags","ghe_l2",-0.0185718242715285,0.0445397846350235,-0.416971577741413,0.67717492371353,-0.105869802156174,0.0687261536131175,3926,0.970754056016192
"TWFE_5_lags","log_gdppc",0.6776565518878,0.242443360938092,2.79511284312231,0.00572647489213138,0.202467564449139,1.15284553932646,3926,0.970754056016192
"TWFE_5_lags","urbanization",0.0807840027311427,0.0396542546049068,2.03720895868628,0.0430308224532514,0.00306166370552548,0.15850634175676,3926,0.970754056016192
"TWFE_5_lags","fertility_rate",-1.09303209407395,0.316504285757157,-3.45345116404711,0.000683806500005701,-1.71338049415798,-0.472683693989925,3926,0.970754056016192
"TWFE_6_lead_placebo","ghe_f2",-0.147061615262031,0.0703166077841568,-2.09142078800858,0.0378339776051748,-0.284882166518979,-0.00924106400508404,3926,0.970063366294054
"TWFE_6_lead_placebo","log_gdppc",0.868750660824614,0.243534624542306,3.56725727381609,0.000457685755203826,0.391422796721693,1.34607852492753,3926,0.970063366294054
"TWFE_6_lead_placebo","urbanization",0.0844854028777289,0.0412103729969799,2.05010041728864,0.0417428427170502,0.0037130718036483,0.16525773395181,3926,0.970063366294054
"TWFE_6_lead_placebo","fertility_rate",-1.22912495861085,0.342746107882643,-3.58610916460561,0.000427829797095211,-1.90090733006083,-0.55734258716087,3926,0.970063366294054
"LongDiff_2000_latest","(Intercept)",2.73707956967049,0.515594872201516,5.30858570796789,3.17472339449093e-07,1.72651362015552,3.74764551918547,186,0.0665495924839129
"LongDiff_2000_latest","d_ghe",-0.330362942785176,0.133905514511965,-2.46713471053991,0.0145395247817536,-0.592817751228628,-0.0679081343417234,186,0.0665495924839129
"LongDiff_2000_latest","d_loggdp",1.20739622420777,0.356566467895688,3.38617434032239,0.000867428727762101,0.508525947132218,1.90626650128331,186,0.0665495924839129
"TWFE_7_income_interactions","log_gdppc",0.878684510663636,0.237787764302376,3.69524694948678,0.00028799096084083,0.412620492630979,1.34474852869629,4304,0.968340155569802
"TWFE_7_income_interactions","urbanization",0.0906346473022036,0.0386825903441554,2.34303459245711,0.020173174924925,0.0148167702276589,0.166452524376748,4304,0.968340155569802
"TWFE_7_income_interactions","fertility_rate",-1.14264802423316,0.311898539464303,-3.66352476736729,0.000323401902125107,-1.75396916158319,-0.531326886883122,4304,0.968340155569802
"TWFE_7_income_interactions","ghe_share_gdp:income_baseLow income",0.975625009029317,0.551855521219616,1.76789933508894,0.0786997842887408,-0.10601181256113,2.05726183061976,4304,0.968340155569802
"TWFE_7_income_interactions","ghe_share_gdp:income_baseLower middle income",-0.0885091797076521,0.207746658687548,-0.426043818306462,0.670563291283176,-0.495692630735246,0.318674271319941,4304,0.968340155569802
"TWFE_7_income_interactions","ghe_share_gdp:income_baseUpper middle income",-0.346870783792212,0.127345223547564,-2.72386175255843,0.00706056873024334,-0.596467421945437,-0.0972741456389874,4304,0.968340155569802
"TWFE_7_income_interactions","ghe_share_gdp:income_baseHigh income",-0.0392771453500893,0.0697959221628392,-0.562742695174263,0.574280554580753,-0.176077152789254,0.0975228620890756,4304,0.968340155569802
